N,Зарын гарчиг,Нийт үнэ 0,Огноо,Цаг,Зарын дугаар,Утасны дугаар,Өрөө,Дүүрэгт байршил,Тайлбар,url,Шал:,Тагт:,Ашиглалтад орсон огноо,Гараж:,Цонх:,Барилгын давхар,Хаалга:,М2 0,Байрны давхар,Лизингээр авах боломж,Цонхны тоо,Барилгын явц:,ad_page,ad_order,Код:,Байршил 2,mylocation,Хотхоны ID,Хотхоны нэр,Дэд байршил,Lat,Long,Дүүрэг,Байршил,Хороо,Нийт үнэ,М2,М2 үнэ
34,Офицерын тойргийн х апартмент 3 өрөө,"2.5 сая ₮
үнэ тохирно",3/19/2024,22:14,8137775,,3 өрөө,"УБ — Баянзүрх, Офицер","
Офицерын тойргийн Х апартмент худалдана.

•••109мкв дуплекс
••• 16/4 давхарт зүүн урагшаа харсан цонхтой
••• Мастер унтлагын өрөө 2 ш
••• Зочны ариун цэврийн өрөөтэй
••• Гал тогооны тавилга үлдэнэ.
••• Төвлөрсөн үйлчилгээ болон ЕБС цэцэрлэгт ойрхон
••• Гэрчилгээ бэлэн
••• Бүрэн цутгамал дулаахан дуплекс
💰 мкв үнэ:2.500.000",https://www.unegui.mn/adv/8137775_ofitseryn-toirgiin-kh-apartment-khudaldana/,Паркет,Тагтгүй,2018,Байхгүй,Вакум,16,Төмөр вакум,109.0 м²,4,Банкны лизингтэй,1,Ашиглалтад орсон,5,10,,,Офицер,,,,,,Баянзүрх,Офицер,,2.5,109,0.02293578
35,Зайсанд гал тогоо тусдаа 2 өрөө,155 сая ₮,3/19/2024,22:14,8137777,,3 өрөө,"УБ — Хан-Уул, Зайсан","
Зайсан гал тогоо тусдаа
2 өрөө орон сууц худалдана
📌ХААИС-н баруун хойд талд орон сууц худалдана.
Үнэ 155 сая

▪️Гал тогоо тусдаа 2 өрөө
▪️57,27мкв
▪️10/9 давхарт
▪️Соёмботой уулруу харууцтай цонхнууд
▪️Нийслэлийн 32-р дунд сургууль болон 35-р цэцэрлэгт харьяалагдана.

Үнэ:155 сая",https://www.unegui.mn/adv/8137777_zaisand-gal-togoo-tusdaa-2-oroo-khudaldana/,Паркет,1 тагттай,2014,Байхгүй,Вакум,10,Төмөр,58.0 м²,9,Лизинггүй,4,Ашиглалтад орсон,5,11,,,Зайсан,,,,,,Хан-Уул,Зайсан,,155,58,2.672413793
36,Zaisan vista хотхонд 103 мкв 3 өрөө байр,"585 сая ₮
үнэ тохирно",3/19/2024,22:03,8101664,,3 өрөө,"УБ — Хан-Уул, Зайсан","
Zaisan square-н чанх хойно Zaisan vista residence-д 3 өрөө орон сууц худалдана.

4 давхарт | 103.24 м.кв | 3 өрөө

▪ Харууц, Урагшаа, зүүн, хойшоо
▪ Мастер унтлагын өрөө
▪ 2 ариун цэврийн өрөө
▪ 2 тагттай
▪ Давхартаа 2 айлтай
▪ Гэрчилгээ бэлэн

Үнэ: 585 сая
(Бэлэн төлөлт, Банкны зээл, Бартер сонсоно)",https://www.unegui.mn/adv/8101664_zaisan-vista-khotkhond-103-mkv-3-oroo-bair-khudaldana/,Паркет,1 тагттай,2020,Байхгүй,Вакум,9,Бүргэд,103.0 м²,4,Банкны лизингтэй,5,Ашиглалтад орсон,5,12,,,Зайсан,,,,,,Хан-Уул,Зайсан,,585,103,5.67961165
37,"Худ-19-р хороолол, нутгийн буян хотхон 52.4мкв 2 өрөө орон сууц","251 сая ₮
үнэ тохирно",3/19/2024,22:03,8137759,,2 өрөө,"УБ — Хан-Уул, 19-р хороолол","
ХУД. 2-р хороо. 19-р хороолол. Нутгийн буян 14-р байр. Урагшаа харсан цонх, тагттай. Нэгдсэн харуул хамгаалалттай, гадна зогсоол болон хүүхдийн тоглоомын талбай маш сайн зохион байгуулалттай. Улсын 18, 52, 75, 15-р сургууль, Цэцэрлэгтэй ойр. Автобусны буудал, худалдаа үйлчилгээний газаруудтай ойр байрлана.",https://www.unegui.mn/adv/8137759_khud-19-r-khoroolol-nutgiin-buian-khotkhon-52-4mkv-2-oroo-oron-suuts-zarna/,Паркет,1 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,52.4 м²,9,Лизинггүй,2,Ашиглалтад орсон,5,13,,,19-р хороолол,,,,,,Хан-Уул,19-р хороолол,,251,52.4,4.790076336
38,19д 2 өрөө байр,186.05 сая ₮,3/19/2024,22:03,8137761,,2 өрөө,"УБ — Хан-Уул, 19-р хороолол","
19-р хороолол автобусны ард байрлалтай бадрах хотхонд 2 өрөө байр зарна.",https://www.unegui.mn/adv/8137761_19d-bair-zarna/,Плита,1 тагттай,2024,Байхгүй,Вакум,12,Төмөр,51.68 м²,2,Лизинггүй,2,Ашиглалтад орсон,5,14,,,19-р хороолол,,,,,,Хан-Уул,19-р хороолол,,186.05,51.68,3.6000387
39,Tuul view хотхонд 3 өрөө орон сууц,175.44 сая ₮,3/19/2024,22:01,8137771,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Яармагт, фермерүүд захын хажууд байршилтай Tuul View хотхонд 58,48м2 цоо шинэ 3 өрөө орон сууц худалдана.

- 16/5 давхарт
- Баруун болон хойшоо харууцтай
- 3 сард улсын комисс ажиллана

Үнэ: 3 сая / нийт үнэ 175,440,000 төг/",https://www.unegui.mn/adv/8137771_tuul-view-khotkhond-3-oroo-oron-suuts/,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,59.0 м²,5,Банкны лизингтэй,3,Ашиглалтад ороогүй,5,15,,,Яармаг,,,,,,Хан-Уул,Яармаг,,175.44,59,2.973559322
40,Хан-уул дүүрэг эрчмийн 52 байранд 69мкв 2 өрөө,"2.6 сая ₮
2.8 сая ₮",3/19/2024,22:01,8042065,,2 өрөө,"УБ — Хан-Уул, 19-р хороолол",,https://www.unegui.mn/adv/8042065_khan-uul-duureg-erchimiin-52-bairand-69mkv-2-oroo-oron-suuts-khudaldana/,Паркет,Тагтгүй,2018,Байхгүй,Вакум,12,Бүргэд,69.0 м²,1,Лизинггүй,2,Ашиглалтад орсон,5,16,,,19-р хороолол,,,,,,Хан-Уул,19-р хороолол,,2.6,69,0.037681159
41,Маршал таунд 4 өрөө байр 155мкв,3.2 сая ₮,3/19/2024,21:56,7812555,,4 өрөө,"УБ — Хан-Уул, Marshall town","
Маршал таунд бартерт орж ирсэн 4 өрөө байрыг ханшнаас маш хямд , үнэ тохироод зарлаа,азтай нь аваарай. Цонхны байршил нь зүүн харсан 3цонх , хотруугаа харсан 1цонхтой 2мастер унтлагын өрөөтэй 4өрөө байр",https://www.unegui.mn/adv/7812555_marshal-taund-4oroo-bair-zarna/,Ламинат,1 тагттай,2016,Байхгүй,Төмөр вакум,10,Төмөр вакум,155.0 м²,10,Банкны лизингтэй,4,Ашиглалтад орсон,5,17,,,Маршал,,,,,,Хан-Уул,Marshall town,,3.2,155,0.020645161
42,"Худ, 115р сургуулийн хажууд 102.2мкв 4 өрөө",294 сая ₮,3/19/2024,21:56,8137757,,4 өрөө,"УБ — Хан-Уул, Туулын хэсэг","
💥ХУД, 115 сургуулийн хажууд 4 өрөө байр худалдана.


102.2мкв | 7/2 давхар | 294сая

-Мастер унтлагын өрөө
-Урагш харсан 4 цонх
-Зам дагуу байрлалтай
-Дулаан зогсоолтой /25сая/
-Гэрчилгээ бэлэн

-Байрандаа хороо, өрхийн эмнэлэг, СӨХ, цагдаа бүх үйлчилгээ хамт байдаг.",https://www.unegui.mn/adv/8137757_khud-115r-surguuliin-khazhuud-102-2mkv-4-oroo/,Паркет,1 тагттай,2013,Байгаа,Вакум,7,Бүргэд,102.2 м²,2,Лизинггүй,4,Ашиглалтад орсон,5,18,,,,,,,,,Хан-Уул,Туулын хэсэг,,294,102.2,2.876712329
43,"Бзд, 26р хороо true l хотхонд 90мкв 4 өрөө","326 сая ₮
350 сая ₮",3/19/2024,21:48,8137739,,4 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
📍True L хотхонд 90,6мкв 4өрөө яаралтай хямд худалдана.
📍9 давхарт
📍Суурин бүх тавилгууд үлдэнэ
📍Урагш, зүүн, хойш харсан цонхтой
📍Мастертай
📍1 хувцасны өрөөтэй
1 өрөө нь дамждаг",https://www.unegui.mn/adv/8137739_bzd-26r-khoroo-true-l-khotkhond-90mkv-4-oroo/,Паркет,1 тагттай,2016,Байхгүй,Вакум,16,Бүргэд,90.0 м²,9,Лизинггүй,5,Ашиглалтад орсон,5,19,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,326,90,3.622222222
44,Бзд 26-р хороо parkside хотхонд 73.15 мкв 3 өрөө орон сууц,285.29 сая ₮,3/19/2024,21:44,8137731,,3 өрөө,"УБ — Баянзүрх, Баянзүрх, Хороо 26","
📍БЗД 26-р хороо Parkside хотхонд 73.15 мкв 3 өрөө орон сууц худалдана

📱

✔️16/2 давхарт
✔️Зүүн болон хойш харагдацтай
✔️2016 онд ашиглалтанд орсон
✔️Гэрчилгээ бэлэн
✔️Төлбөрийн нөхцөл: Бэлэн болон энгийн орон сууцны зээл
✔️Үнэ: 285.285.000₮",https://www.unegui.mn/adv/8137731_bzd-26-r-khoroo-parkside-khotkhond-73-15-mkv-3-oroo-oron-suuts/,Паркет,1 тагттай,2016,Байгаа,Вакум,16,Төмөр,73.15 м²,2,Банкны лизингтэй,3,Ашиглалтад орсон,5,20,,,Цэцэрлэгт хүрээлэн,,,,,,Баянзүрх,Хороо 26,26,285.29,73.15,3.900068353
45,"Бзд, 16-р хороолол, апартмент-5 хотхонд 2 өрөө байр",127.5 сая ₮,3/19/2024,21:38,8137714,,2 өрөө,"УБ — Баянзүрх, 16-р хороолол","
Гэрчилгээ бэлэн, Баруун харсан 2 цонхтой, том тагттай, бүрэн цутгамал, Улсын 2 сургууль, улсын цэцэрлэг болон хувийн 3 цэцэрлэгтэй ойр. Бэлгэнд гал тогооны тавилга, үүдний том шкаф, абжур дагалдуулна. Өвөлдөө маш дулаахан. Баянзүрх захтай ойрхон.",https://www.unegui.mn/adv/8137714_bzd-16-r-khoroolol-apartment-5-khotkhond-2-oroo-bair/,Ламинат,1 тагттай,2016,Байхгүй,Вакум,3,Төмөр вакум,43.71 м²,10,Лизинггүй,2,Ашиглалтад орсон,5,21,,,Цайз,,,,,,Баянзүрх,16-р хороолол,,127.5,43.71,2.916952642
46,Цагаан хуаран 2 өрөө 45.66m2 байр,135 сая ₮,3/19/2024,21:36,8076009,,2 өрөө,"УБ — Баянзүрх, 14-р хороолол","
бартерд авсан 2 өрөө засвар хийсэн",https://www.unegui.mn/adv/8076009_tsagaan-khuaran-90a-bairand-2-oroo-zarna/,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,45.66 м²,12,Банкны лизингтэй,2,Ашиглалтад орсон,5,22,,,"Жуков, Халдварт, Өгөөмөр",,,,,,Баянзүрх,14-р хороолол,,135,45.66,2.956636005
47,Удирдлагын академийн урд 159мкв 3 өрөө,3.7 сая ₮,3/19/2024,21:31,8137704,,3 өрөө,"УБ — Хан-Уул, Хан-Уул, Хороо 11","
Мкв үнэ 3,750 сая-аас маш хямд яаралтай зарна
ХУД-ийн 11-р хороо Удирдлагын академийн баруун урд талд байрлалтай 52-р байранд 3 өрөө, 159 мкв / +50 мкв террас
Бүтэн интерьер супер засвар мэргэжлийн байгууллагаар зураг гаргаж гүйцэтгэлийг хийлгэсэн
Өрөө болгон шалнаас тааз хүрсэн саруул том цонхтой, баруун 4, урагшаа 2
50мкв том террастай
1 давхартаа улсын цэцэрлэгтэй тул та хүүхдээ шатаар буугаад л оруулаад өгөх бүрэн боломжтой.
Байрны шалнууд сайн чанарын паркет, бүх тавилга EGGER брэндийн хавтангаар хийсэн, хаалга орос зузаан давхар цоожтой ба автомат цоож суурилуулсан
Бүх өрөөний ханны тавилга, нойлын бүх тавилга, Жакуз үлдэнэ",https://www.unegui.mn/adv/8137704_udirdlagiin-akademiin-urd-159mkv-3-oroo/,Паркет,1 тагттай,2012,Байхгүй,Вакум,11,Бүргэд,159.0 м²,11,Лизинггүй,6,Ашиглалтад орсон,5,23,,,Зайсан,,,,,,Хан-Уул,Хороо 11,11,3.7,159,0.02327044
48,Модны 2 түндэмүний ард 48.11мкв 2 өрөө,153 сая ₮,3/19/2024,21:29,8137695,,2 өрөө,"УБ — Баянгол, Модны 2","
Modnii 2iin dund zam Tundemun ii ard
12/5n dawhart
48.11mkb
Zvvn haruutstai
Vne 153n say belen bolon bankaar
Bankan dr 47n say uldegdeltei",https://www.unegui.mn/adv/8137695_modny-2-tundemunii-ard-48-11mkv-2-oroo/,Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,48.11 м²,4,Лизинггүй,2,Ашиглалтад орсон,5,24,,,,,,,,,Баянгол,Модны 2,,153,48.11,3.180212014
49,Хороололд 45м2 2 өрөө,"124 сая ₮
үнэ тохирно",3/19/2024,21:22,8086675,,2 өрөө,"УБ — Баянгол, Баянгол, Хороо 9","
Бгд 9-р хороо Емартын баруун талд 33-р байранд 2 өрөө байр худалдана.

- 45м2
- 6/2 давхар
- Зүүн харсан цонхтой
- Гэрчилгээ бэлэн
- Суурьлуулсан тавилга үлдэнэ.",https://www.unegui.mn/adv/8086675_khoroolold-45m2-2-oroo-khudaldana/,Паркет,1 тагттай,1996,Байхгүй,Вакум,6,Төмөр,45.0 м²,2,Банкны лизингтэй,2,Ашиглалтад орсон,5,25,,,Хорооллын эцэс,,,,,,Баянгол,Хороо 9,9,124,45,2.755555556
50,Худ яармаг garden city 4-өрөө 142 m2,"620 сая ₮
үнэ тохирно",3/19/2024,21:20,8137674,,4 өрөө,"УБ — Хан-Уул, Яармаг","
Яармаг, “Garden city” хотхон
Ногоон байгууламж зогсоол сайн
Харуул хамгаалалт сайн
Тав тухтай орчин
Харууц маш сайхан
Маш том тагттай
3 тал уруугаа харсан 6 цонхтой
3Ариун цэврийн өрөөтэй
Мастер унтлагын өрөө, хувцасны өрөөтэй
Угаалгын өрөөтэй,
Бүх цонх нано хамгаалалттай
Авто машины хөдөлгөөнөөс тусдаа хүүхдийн тоглоомын талбай
Гэрчилгээ бэлэн
Гал тогооны тавилга дагалдана",https://www.unegui.mn/adv/8137674_khud-iaarmag-garden-city-4-oroo-142-m2/,Паркет,1 тагттай,2022,Байгаа,Вакум,17,Бүргэд,142.0 м²,15,Лизинггүй,6,Ашиглалтад орсон,5,26,,,Яармаг,,,,,,Хан-Уул,Яармаг,,620,142,4.366197183
51,Москва хороололд 2 өрөө байр 63м2,"148 сая ₮
үнэ тохирно",3/19/2024,21:16,8137670,,2 өрөө,"УБ — Сонгинохайрхан, Москва хороолол","
Москва Хороололд 62.71мкв 2 Өрөө орон сууц худалдана


- 9/5 Давхарт
- Гэрчилгээ бэлэн",https://www.unegui.mn/adv/8137670_moskva-khoroolold-khudaldakh-2-oroo-bair/,Паркет,1 тагттай,2007,Байгаа,Вакум,9,Бүргэд,63.0 м²,5,Банкны лизингтэй,3,Ашиглалтад орсон,5,27,,,Москва,,,,,,Сонгинохайрхан,Москва хороолол,,148,63,2.349206349
